id,cas_number,rtecs_number,conversion,idlh,rel_and_pel,molecular_weight,boiling_point,melting_point,solubility,vapor_pressure,ionization_potential,specific_gravity,flash_point,upper_explosive_limit,lower_explosive_limit,relative_gas_density,minimum_explosive_concentration,combustibility,exposure_routes,symptoms,target_organs,personal_protection_and_sanitation,first_aid
0001,75-07-0,,1 ppm = 1.80 mg/m<sup>3</sup>,Ca [2000 ppm],: Ca : TWA 200 ppm (360 mg/m<sup>3</sup>),44.1,69°F,-190°F,Miscible,740 mmHg,10.22 eV,0.79,-36°F,60%,4.0%,,,Class IA Flammable Liquid: Fl.P. below 73°F and BP below 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, nose, throat; eye, skin burns; dermatitis; conjunctivitis; cough; central nervous system depression; delayed pulmonary edema; in animals: kidney, reproductive, teratogenic effects; [potential occupational carcinogen]","Eyes, skin, respiratory system, kidneys, central nervous system, reproductive system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0002,64-19-7,,1 ppm = 2.46 mg/m<sup>3</sup>,50 ppm,: TWA 10 ppm (25 mg/m<sup>3</sup>) ST 15 ppm (37 mg/m<sup>3</sup>)                  : TWA 10 ppm (25 mg/m<sup>3</sup>),60.1,244°F,62°F,Miscible,11 mmHg,10.66 eV,1.05,103°F,UEL(200°F): 19.9%,4.0%,,,Class II Combustible Liquid: Fl.P. at or above 100°F and below 140°F.,"inhalation, skin and/or eye contact","irritation eyes, skin, nose, throat; eye, skin burns; skin sensitization; dental erosion; black skin, hyperkeratosis; conjunctivitis, lacrimation (discharge of tears); pharyngeal edema, chronic bronchitis","Eyes, skin, respiratory system, teeth","() <strong>Skin:</strong> Prevent skin contact (&gt;10%)                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated (&gt;10%)                  <strong>Remove:</strong> When wet or contaminated (&gt;10%)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash (&gt;5%), Quick drench (&gt;50%)",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0003,108-24-7,,1 ppm = 4.18 mg/m<sup>3</sup>,200 ppm,: C 5 ppm (20 mg/m<sup>3</sup>)                  : TWA 5 ppm (20 mg/m<sup>3</sup>),102.1,282°F,-99°F,12%,4 mmHg,10.00 eV,1.08,120°F,10.3%,2.7%,,,Class II Combustible Liquid: Fl.P. at or above 100°F and below 140°F.,"inhalation, ingestion, skin and/or eye contact","conjunctivitis, lacrimation (discharge of tears), corneal edema, opacity, photophobia (abnormal visual intolerance to light); nasal, pharyngeal irritation; cough, dyspnea (breathing difficulty), bronchitis; skin burns, vesiculation, sensitization dermatitis","Eyes, skin, respiratory system","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0004,67-64-1,,1 ppm = 2.38 mg/m<sup>3</sup>,2500 ppm [10%LEL],: TWA 250 ppm (590 mg/m<sup>3</sup>)                  : TWA 1000 ppm (2400 mg/m<sup>3</sup>),58.1,133°F,-140°F,Miscible,180 mmHg,9.69 eV,0.79,0°F,12.8%,2.5%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, nose, throat; headache, dizziness, central nervous system depression; dermatitis","Eyes, skin, respiratory system, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0005,75-86-5,,1 ppm = 3.48 mg/m<sup>3</sup>,N.D.,: C 1 ppm (4 mg/m<sup>3</sup>) [15-minute]                  : none,85.1,203°F,-4°F,Miscible,0.8 mmHg,?,Sp.Gr(77°F): 0.93,165°F,12.0%,2.2%,,,Class IIIA Combustible Liquid: Fl.P. at or above 140°F and below 200°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation eyes, skin, respiratory system; dizziness, lassitude (weakness, exhaustion), headache, confusion, convulsions; liver, kidney injury; pulmonary edema, asphyxia","Eyes, skin, respiratory system, central nervous system, cardiovascular system, liver, kidneys, gastrointestinal tract","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0006,75-05-8,,1 ppm = 1.68 mg/m<sup>3</sup>,500 ppm,: TWA 20 ppm (34 mg/m<sup>3</sup>)                  : TWA 40 ppm (70 mg/m<sup>3</sup>),41.1,179°F,-49°F,Miscible,73 mmHg,12.20 eV,0.78,Fl.P(oc): 42°F,16.0%,3.0%,,,Class IB Flammable Liquid: Fl.P. below 73°F and BP at or above 100°F.,"inhalation, skin absorption, ingestion, skin and/or eye contact","irritation nose, throat; asphyxia; nausea, vomiting; chest pain; lassitude (weakness, exhaustion); stupor, convulsions; in animals: liver, kidney damage","respiratory system, cardiovascular system, central nervous system, liver, kidneys",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Quick drench,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0007,53-96-3,,,Ca [N.D.],: Ca,223.3,?,381°F,Insoluble,?,?,?,?,?,?,,,Combustible Solid,"inhalation, skin absorption, ingestion, skin and/or eye contact","Reduced function of liver, kidneys, bladder, pancreas; [potential occupational carcinogen]","Liver, bladder, kidneys, pancreas, skin","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated/Daily                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash immediately                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0008,74-86-2,,1 ppm = 1.06 mg/m<sup>3</sup>,N.D.,: C 2500 ppm (2662 mg/m<sup>3</sup>)                  : none,26.0,Sublimes,-119°F (Sublimes),2%,44.2 atm,11.40 eV,,NA (Gas),100%,2.5%,0.91,,Flammable Gas,"inhalation, skin and/or eye contact (liquid)","headache, dizziness; asphyxia; liquid: frostbite","central nervous system, respiratory system",() <strong>Skin:</strong> Frostbite                  <strong>Eyes:</strong> Frostbite                  <strong>Wash skin:</strong> No recommendation                  <strong>Remove:</strong> When wet (flammable)                  <strong>Change:</strong> No recommendation                  <strong>Provide:</strong> Frostbite wash,()<strong>Eye:</strong> Frostbite                  <strong>Skin:</strong> Frostbite                  <strong>Breathing:</strong> Fresh air
0009,79-27-6,,1 ppm = 14.14 mg/m<sup>3</sup>,8 ppm,: : TWA 1 ppm (14 mg/m<sup>3</sup>),345.7,474°F (Decomposes),32°F,0.07%,0.02 mmHg,?,2.97,NA,NA,NA,,,Noncombustible Liquid,"inhalation, ingestion, skin and/or eye contact","irritation eyes, nose; anorexia, nausea; headache; abdominal pain; jaundice; leukocytosis (increased blood leukocytes); central nervous system depression","Eyes, respiratory system, liver, central nervous system",() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> When wet or contaminated                  <strong>Change:</strong> No recommendation,()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Water flush promptly                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
0010,50-78-2,,,N.D.,: TWA 5 mg/m<sup>3</sup>: none,180.2,284°F (Decomposes),275°F,Sol(77°F): 0.3%,0 mmHg (approx),NA,1.35,NA,NA,NA,,40 g/m<sup>3</sup>,Combustible Powder; explosion hazard if dispersed in air.,"inhalation, ingestion, skin and/or eye contact","irritation eyes, skin, upper respiratory system; increased blood clotting time; nausea, vomiting; liver, kidney injury","Eyes, skin, respiratory system, blood, liver, kidneys","() <strong>Skin:</strong> Prevent skin contact                  <strong>Eyes:</strong> Prevent eye contact                  <strong>Wash skin:</strong> When contaminated                  <strong>Remove:</strong> No recommendation                  <strong>Change:</strong> Daily                  <strong>Provide:</strong> Eyewash, Quick drench",()<strong>Eye:</strong> Irrigate immediately                  <strong>Skin:</strong> Soap wash                  <strong>Breathing:</strong> Respiratory support                  <strong>Swallow:</strong> Medical attention immediately
